id;recName;recAdress;recZipCode;recCity;recTimeFrom;recTimeTo;tecTelNum;size
1;Zalfresso;Pocztowa 15;55-444;Wroclaw;09:11;null;555-555-551;small
2;Zalfresso;Pocztowa 13;55-444;Wrocław;null;null;555-555-552;medium
3;Lidzba;Pradzynskiego 1;55-444;Wrocław;null;17:15;555-555-553;big
4;Nowak;Rynek 14;55-444;Wrocław;09:30;12:30;555-555-554;medium
5;Zalfresso;Krucza 7;55-444;Wrocław;09:45;13:00;555-555-555;big
6;Wozniak;Gradowa 10;55-444;Wrocław;10:15;13:15;555-555-556;medium
7;Lidzba;Burzowa 14;55-444;Wrocław;11:00;13:30;555-555-557;big
8;Zalfresso;Psia Kładka;55-444;Wrocław;11:15;13:45;555-555-558;big
9;Lidzba;Lisia 7;55-444;Wrocław;11:30;17:10;555-555-559;medium
10;Nowak;Braterska 5;55-444;Wrocław;11:45;17:20;555-555-560;small
11;Lidzba;Siostrzana 4;55-444;Wrocław;12:30;17:30;555-555-561;big
12;Zalfresso;Deszczowa 3;55-444;Wrocław;13:30;17:40;555-555-562;small
13;Wozniak;Mokra 2;55-444;Wrocław;14:15;17:30;555-555-563;medium
14;Lidzba;Modra 1;55-444;Wrocław;14:45;17:20;555-555-564;big
15;Lidzba;Zawalna 35;55-444;Wrocław;15:45;17:30;555-555-565;small
16;Zalfresso;Romana Dmowskiego 1;55-444;Wrocław;16:15;17:40;555-555-566;big
17;Lidzba;Więzienna 32;55-444;Wrocław;16:45;null;555-555-567;big
18;Zalfresso;Wielka 21;55-444;Wrocław;17:45;null;555-555-568;big
19;Lidzba;Gwiaździsta 2;55-444;Wrocław;11:30;null;555-555-569;big
20;Lidzba;Nasypowa 100;55-444;Wrocław;11:45;null;555-555-570;medium
21;Zalfresso;Świdnicka 69;55-444;Wrocław;12:30;null;555-571-555;big
22;Lidzba;Ptasia 11;55-444;Wrocław;13:30;null;555-555-572;small
23;Nowak;Łowiecka 1;55-444;Wrocław;14:15;10:15;555-555-573;small
24;Zalfresso;Pomorska 100;55-444;Wrocław;null;11:00;555-555-574;small
25;Wozniak;Wałbrzyska 1;55-444;Wrocław;null;11:30;555-555-575;big
26;Zalfresso;Terenowa 45;55-444;Wrocław;null;11:45;555-555-576;small
27;Wozniak;Wiaduktowa 21;55-444;Wrocław;null;12:00;555-555-577;medium
28;Lidzba;Rybnicka 10;55-444;Wrocław;08:45;12:15;555-555-578;big
29;Wozniak;Szkolna 2;55-444;Wrocław;08:55;12:30;555-555-579;big
30;Wozniak;Kolejowa 12A;55-444;Wrocław;09:15;13:00;555-555-580;medium
31;Nowak;Spiska 2;55-444;Wrocław;09:30;13:15;555-555-581;medium
32;Wozniak;Legnicka 90;55-444;Wrocław;09:40;13:30;555-555-582;small
33;Lidzba;Tęczowa 1;55-444;Wrocław;09:55;13:45;555-555-583;big
34;Wozniak;Krucza 8;55-444;Wrocław;null;null;555-555-584;medium
35;Nowak;Grochowa 24;55-444;Wrocław;null;null;555-555-585;small
